,[soyisim]
1252,ÇINKIT
1253,AYDIN BADILLIOĞLU
1254,BÜYÜKCAM
1255,ERASLAN
1256,KERİMOĞLU
1257,KISA
1258,KOCAMAN
1259,UZUNCAN
1260,ASLANALP
1261,AKSU
1262,BÖLÜK
1263,KOCA
1264,COŞKUNER
1265,ÇAYLI
1266,HATİPOĞLU
1267,ARTUÇ
1268,TEL KANKILIÇ
1269,TALAN
1270,İLGEN
1271,TEMURTAŞ
1272,KARAMAN
1273,ONUK
1274,ÇINKIR
1275,KIZILTEPE
1276,DUMLUDAĞ
1277,ÖZSAYGILI
1278,TOPRAK
1279,KAAN
1280,MÖNÜR
1281,KORUCU
1282,HALİS
1283,MUMCUOĞLU
1284,SANDAL
1285,GÖRMÜŞ
1286,DEMİRHAN
1287,KOZANOĞLU
1288,AY GÜNEY
1289,AL
1290,EŞFER
1291,KOÇOĞLU
1292,ŞELİMAN
1293,SARIGÜL
1294,TOKAR
1295,ERKAN
1296,ÖKMEN
1297,DÖKMECİ
1298,ÖZDEMİR
1299,CAN BORAN
1300,ÖZANLAĞAN
1301,BALLI
1302,KURT
1303,KUMBUL
1304,KARACAN
1305,ESMERAY
1306,BATMAZ
1307,SARI
1308,DİKİCİ
1309,BABA
1310,ALICI
1311,SÖNMEZER
1312,SEKİN
1313,ÇAKMAK
1314,GÜVEREN
1315,CÖMERT
1316,ŞATIROĞLU
1317,YABUL
1318,BAYAM
1319,AKAY
1320,BÜDÜN
1321,ÜSTÜNDAĞ
1322,İLERİ
1323,KARNAS
1324,ASLANER
1325,ONAY
1326,KÖSE
1327,AYAS
1328,PEKGÖZ
1329,ÇETİNER
1330,OCAK
1331,EREL
1332,KESER
1333,BAYMAK
1334,TENEKECİ
1335,ÖCAL
1336,BÜLBÜL
1337,BURULDAY
1338,ALTUNÖZ
1339,AKŞAHİN
1340,UYGUR
1341,KESİK
1342,EROL
1343,EMRE
1344,BALCI
1345,GÜMÜŞÇÜ
1346,YALINKILIÇ
1347,YÜKSEL
1348,BULUÇ
1349,GENÇDAL
1350,KAVURGACI
1351,AKYÜREK
1352,ÖZASLAN
1353,SANCAR
1354,KUTLUYURDU
1355,DÖNERTAŞ
1356,KÜTÜKCÜ
1357,SOYKAMER
1358,SARIKAYA
